id,name,price,image,brand,category,store,availability,rating,description,link,timestamp
12,Controller Deluxe 12,427.69,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Maxim Integrated,Communication,Ekostra,In Stock,4.2,Real product image: ,https://ekostra-eg.com/product/12,2025-12-26T16:15:56.262482
13,Interface Model 13,2938.78,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Automation,Ekostra,Out of Stock,3.9,Real product image: ,https://ekostra-eg.com/product/13,2025-12-26T16:15:56.262491
14,Security Model 14,2003.89,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Maxim Integrated,Automation,Ekostra,In Stock,3.8,Real product image: Product 18,https://ekostra-eg.com/product/14,2025-12-26T16:15:56.262501
15,Security Standard 15,2608.17,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Analog Devices,Automation,Ekostra,In Stock,4.0,Real product image: Product 19,https://ekostra-eg.com/product/15,2025-12-26T16:15:56.262511
16,Module Portable 16,552.62,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Wireless,Ekostra,In Stock,4.1,Real product image: Product 20,https://ekostra-eg.com/product/16,2025-12-26T16:15:56.262521
17,GPS Professional 17,646.01,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Sensors,Ekostra,Out of Stock,4.8,Real product image: Product 21,https://ekostra-eg.com/product/17,2025-12-26T16:15:56.262532
18,Amplifier Version 4.0 18,500.0,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,RFID,Ekostra,In Stock,3.7,Real product image: Product 22,https://ekostra-eg.com/product/18,2025-12-26T16:15:56.262542
19,Transceiver CAN 19,2912.4,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Automation,Ekostra,In Stock,3.7,Real product image: ,https://ekostra-eg.com/product/19,2025-12-26T16:15:56.262551
20,Communication Low Power 20,1106.01,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Automation,Ekostra,In Stock,4.6,Real product image: ,https://ekostra-eg.com/product/20,2025-12-26T16:15:56.262559
21,Bluetooth Set 21,1623.56,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Embedded,Ekostra,Limited Stock,4.8,Real product image: ,https://ekostra-eg.com/product/21,2025-12-26T16:15:56.262566
22,Amplifier Model 22,278.54,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Sensors,Ekostra,Out of Stock,4.3,Real product image: ,https://ekostra-eg.com/product/22,2025-12-26T16:15:56.262572
23,Filter Board Level 23,167.65,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Test Equipment,Ekostra,Limited Stock,4.9,Real product image: ,https://ekostra-eg.com/product/23,2025-12-26T16:15:56.262579
24,RFID Model 24,1876.95,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Embedded,Ekostra,In Stock,3.7,Real product image: ,https://ekostra-eg.com/product/24,2025-12-26T16:15:56.262585
25,Filter Starter 25,3217.76,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Automation,Ekostra,Out of Stock,4.4,Real product image: ,https://ekostra-eg.com/product/25,2025-12-26T16:15:56.262592
26,WiFi Intelligent 26,1500.0,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Communication,Ekostra,In Stock,3.9,Real product image: ,https://ekostra-eg.com/product/26,2025-12-26T16:15:56.262600
27,Controller Version 5.0 27,805.82,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Maxim Integrated,GPS,Ekostra,Limited Stock,5.0,Real product image: ,https://ekostra-eg.com/product/27,2025-12-26T16:15:56.262609
28,GPS Desktop 28,1449.02,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Test Equipment,Ekostra,In Stock,3.9,Real product image: ,https://ekostra-eg.com/product/28,2025-12-26T16:15:56.262616
29,Controller Set 29,1141.61,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Communication,Ekostra,Out of Stock,4.4,Real product image: ,https://ekostra-eg.com/product/29,2025-12-26T16:15:56.262622
30,Automation Smart 30,3713.21,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Test Equipment,Ekostra,In Stock,4.1,Real product image: ,https://ekostra-eg.com/product/30,2025-12-26T16:15:56.262628
31,Filter Desktop 31,2555.85,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Automation,Ekostra,In Stock,4.0,Real product image: ,https://ekostra-eg.com/product/31,2025-12-26T16:15:56.262635
32,Filter Desktop 32,1337.84,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,NXP,Security,Ekostra,In Stock,4.4,Real product image: ,https://ekostra-eg.com/product/32,2025-12-26T16:15:56.262641
33,Sensor Version 5.0 33,415.74,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,NXP,Wireless,Ekostra,In Stock,4.6,Real product image: ,https://ekostra-eg.com/product/33,2025-12-26T16:15:56.262648
34,WiFi WiFi 34,3249.45,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Automation,Ekostra,In Stock,4.8,Real product image: ,https://ekostra-eg.com/product/34,2025-12-26T16:15:56.262654
35,Amplifier Pro 35,299.64,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Test Equipment,Ekostra,In Stock,4.4,Real product image: ,https://ekostra-eg.com/product/35,2025-12-26T16:15:56.262661
36,Sensor Handheld 36,721.4,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,NXP,GPS,Ekostra,In Stock,3.6,Real product image: ,https://ekostra-eg.com/product/36,2025-12-26T16:15:56.262667
37,Receiver Mini 37,1131.44,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Embedded,Ekostra,Out of Stock,4.5,Real product image: ,https://ekostra-eg.com/product/37,2025-12-26T16:15:56.262676
38,Transmitter Model 38,411.61,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Communication,Ekostra,Out of Stock,3.7,Real product image: ,https://ekostra-eg.com/product/38,2025-12-26T16:15:56.262685
39,Security Model 39,328.51,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,GPS,Ekostra,In Stock,4.7,Real product image: ,https://ekostra-eg.com/product/39,2025-12-26T16:15:56.262692
40,Tester Portable 40,555.1,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Silicon Labs,Wireless,Ekostra,In Stock,4.7,Real product image: ,https://ekostra-eg.com/product/40,2025-12-26T16:15:56.262699
41,RFID Version 2.0 41,145.24,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Wireless,Ekostra,In Stock,4.0,Real product image: ,https://ekostra-eg.com/product/41,2025-12-26T16:15:56.262709
42,Transceiver Elite 42,1017.77,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Analog Devices,Security,Ekostra,Out of Stock,4.7,Real product image: ,https://ekostra-eg.com/product/42,2025-12-26T16:15:56.262718
43,Bluetooth Version 4.0 43,150.17,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Test Equipment,Ekostra,Limited Stock,4.5,Real product image: ,https://ekostra-eg.com/product/43,2025-12-26T16:15:56.262725
44,GPS Model 44,698.9,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Security,Ekostra,In Stock,4.2,Real product image: ,https://ekostra-eg.com/product/44,2025-12-26T16:15:56.262731
45,Communication Model 45,287.63,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,RFID,Ekostra,In Stock,4.4,Real product image: ,https://ekostra-eg.com/product/45,2025-12-26T16:15:56.262738
46,Converter Starter 46,67.47,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,GPS,Ekostra,In Stock,3.5,Real product image: ,https://ekostra-eg.com/product/46,2025-12-26T16:15:56.262744
47,RFID Nano 47,637.58,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,STMicroelectronics,Sensors,Ekostra,Out of Stock,4.1,Real product image: ,https://ekostra-eg.com/product/47,2025-12-26T16:15:56.262751
48,Transceiver Ultra 48,673.17,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Sensors,Ekostra,In Stock,4.8,Real product image: ,https://ekostra-eg.com/product/48,2025-12-26T16:15:56.262757
49,Converter High Speed 49,722.31,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Automation,Ekostra,In Stock,4.9,Real product image: ,https://ekostra-eg.com/product/49,2025-12-26T16:15:56.262764
50,Bluetooth 2025 Model 50,770.63,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,GPS,Ekostra,In Stock,3.5,Real product image: ,https://ekostra-eg.com/product/50,2025-12-26T16:15:56.262772
51,Amplifier Bluetooth 51,312.22,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,RFID,Ekostra,Out of Stock,4.0,Real product image: ,https://ekostra-eg.com/product/51,2025-12-26T16:15:56.262786
52,Converter Epsilon 52,986.86,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Espressif,Embedded,Ekostra,In Stock,4.2,Real product image: ,https://ekostra-eg.com/product/52,2025-12-26T16:15:56.262799
53,Memory Series 2 53,200.75,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Maxim Integrated,Sensors,Ekostra,Limited Stock,4.7,Real product image: ,https://ekostra-eg.com/product/53,2025-12-26T16:15:56.262809
54,WiFi Zeta 54,262.81,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,RFID,Ekostra,Out of Stock,4.7,Real product image: ,https://ekostra-eg.com/product/54,2025-12-26T16:15:56.262819
55,Filter Zeta 55,493.86,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,Wireless,Ekostra,In Stock,4.2,Real product image: ,https://ekostra-eg.com/product/55,2025-12-26T16:15:56.262834
56,Receiver Nano 56,349.54,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Generic,GPS,Ekostra,Out of Stock,4.7,Real product image: ,https://ekostra-eg.com/product/56,2025-12-26T16:15:56.262843
57,Security Kit 57,1315.71,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,NXP,Automation,Ekostra,Limited Stock,4.2,Real product image: ,https://ekostra-eg.com/product/57,2025-12-26T16:15:56.262852
58,Automation Model 58,1820.53,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Test Equipment,Ekostra,Limited Stock,4.6,Real product image: ,https://ekostra-eg.com/product/58,2025-12-26T16:15:56.262860
59,Interface Combo 59,348.41,https://ekostra.com/wp-content/themes/woodmart/images/lazy.svg,Texas Instruments,Modules,Ekostra,In Stock,4.6,Real product image: ,https://ekostra-eg.com/product/59,2025-12-26T16:15:56.262869
60,Transceiver Model X 60,769.79,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_59,NXP,Modules,Ekostra,In Stock,4.2,Professional modules from NXP. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/60,2025-12-26T16:15:56.262878
61,Automation Series 2 61,507.22,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_60,Silicon Labs,Sensors,Ekostra,In Stock,4.0,Professional sensors from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/61,2025-12-26T16:15:56.262888
62,Transceiver Basic 62,2338.17,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_61,Generic,Test Equipment,Ekostra,In Stock,3.7,Professional test equipment from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/62,2025-12-26T16:15:56.262898
63,RFID Eta 63,1014.56,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_62,Texas Instruments,Communication,Ekostra,Out of Stock,3.8,Professional communication from Texas Instruments. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/63,2025-12-26T16:15:56.262908
64,Sensor Rack Mount 64,478.25,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_63,Maxim Integrated,Security,Ekostra,In Stock,3.8,Professional security from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/64,2025-12-26T16:15:56.262915
65,Interface Version 2.0 65,185.62,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_64,STMicroelectronics,Wireless,Ekostra,Limited Stock,3.7,Professional wireless from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/65,2025-12-26T16:15:56.262921
66,Bluetooth 2025 Model 66,743.15,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_65,Espressif,GPS,Ekostra,Limited Stock,4.0,Professional gps from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/66,2025-12-26T16:15:56.262930
67,Automation I2C 67,264.47,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_66,Silicon Labs,RFID,Ekostra,Limited Stock,4.0,Professional rfid from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/67,2025-12-26T16:15:56.262937
68,Filter Panel Mount 68,344.49,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_67,Silicon Labs,Security,Ekostra,Limited Stock,3.5,Professional security from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/68,2025-12-26T16:15:56.262943
69,Amplifier Series 3 69,951.56,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_68,Generic,Modules,Ekostra,Limited Stock,5.0,Professional modules from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/69,2025-12-26T16:15:56.262949
70,Module Panel Mount 70,725.99,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_69,STMicroelectronics,GPS,Ekostra,In Stock,3.6,Professional gps from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/70,2025-12-26T16:15:56.262955
71,Amplifier Digital 71,3446.52,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_70,Silicon Labs,Test Equipment,Ekostra,Limited Stock,4.9,Professional test equipment from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/71,2025-12-26T16:15:56.262962
72,GPS Board Level 72,1355.72,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_71,Analog Devices,Automation,Ekostra,In Stock,4.6,Professional automation from Analog Devices. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/72,2025-12-26T16:15:56.262970
73,WiFi Model 73,125.91,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_72,Texas Instruments,Wireless,Ekostra,Limited Stock,4.8,Professional wireless from Texas Instruments. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/73,2025-12-26T16:15:56.262977
74,RFID Model 74,1251.86,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_73,Maxim Integrated,Communication,Ekostra,Out of Stock,4.7,Professional communication from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/74,2025-12-26T16:15:56.262983
75,RFID Digital 75,2375.39,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_74,NXP,Embedded,Ekostra,In Stock,3.6,Professional embedded from NXP. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/75,2025-12-26T16:15:56.262989
76,Controller Ultra 76,714.99,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_75,NXP,Sensors,Ekostra,Out of Stock,4.8,Professional sensors from NXP. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/76,2025-12-26T16:15:56.262996
77,Transmitter RS485 77,224.63,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_76,Espressif,Modules,Ekostra,Out of Stock,4.9,Professional modules from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/77,2025-12-26T16:15:56.263002
78,Communication Panel Mount 78,428.95,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_77,STMicroelectronics,Modules,Ekostra,Out of Stock,4.3,Professional modules from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/78,2025-12-26T16:15:56.263011
79,Security Zeta 79,111.29,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_78,Generic,GPS,Ekostra,In Stock,4.4,Professional gps from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/79,2025-12-26T16:15:56.263016
80,Tester Model 80,376.63,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_79,Espressif,RFID,Ekostra,In Stock,4.0,Professional rfid from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/80,2025-12-26T16:15:56.263022
81,Controller Professional 81,115.71,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_80,STMicroelectronics,RFID,Ekostra,In Stock,3.8,Professional rfid from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/81,2025-12-26T16:15:56.263029
82,Controller Model 82,3026.07,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_81,Maxim Integrated,Test Equipment,Ekostra,In Stock,3.8,Professional test equipment from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/82,2025-12-26T16:15:56.263036
83,Security CAN 83,479.3,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_82,Generic,Sensors,Ekostra,Out of Stock,4.7,Professional sensors from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/83,2025-12-26T16:15:56.263042
84,Sensor Version 4.0 84,376.48,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_83,Analog Devices,Sensors,Ekostra,In Stock,3.6,Professional sensors from Analog Devices. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/84,2025-12-26T16:15:56.263049
85,Sensor Ethernet 85,182.94,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_84,Analog Devices,Modules,Ekostra,Out of Stock,4.6,Professional modules from Analog Devices. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/85,2025-12-26T16:15:56.263055
86,Receiver RS485 86,168.6,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_85,Analog Devices,Wireless,Ekostra,In Stock,4.0,Professional wireless from Analog Devices. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/86,2025-12-26T16:15:56.263061
87,Sensor Gamma 87,344.62,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_86,Maxim Integrated,Sensors,Ekostra,In Stock,4.3,Professional sensors from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/87,2025-12-26T16:15:56.263068
88,GPS Model 88,168.38,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_87,Silicon Labs,Sensors,Ekostra,In Stock,3.9,Professional sensors from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/88,2025-12-26T16:15:56.263074
89,RFID Generation 1 89,186.28,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_88,Silicon Labs,Wireless,Ekostra,In Stock,3.8,Professional wireless from Silicon Labs. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/89,2025-12-26T16:15:56.263079
90,Sensor Pro 90,4983.99,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_89,Texas Instruments,Test Equipment,Ekostra,Limited Stock,4.5,Professional test equipment from Texas Instruments. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/90,2025-12-26T16:15:56.263085
91,Converter WiFi 91,261.32,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_90,Maxim Integrated,Automation,Ekostra,In Stock,4.8,Professional automation from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/91,2025-12-26T16:15:56.263091
92,Amplifier Model 92,2005.14,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_91,Espressif,Test Equipment,Ekostra,In Stock,4.7,Professional test equipment from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/92,2025-12-26T16:15:56.263097
93,Memory Model 93,587.39,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_92,Texas Instruments,Sensors,Ekostra,In Stock,4.5,Professional sensors from Texas Instruments. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/93,2025-12-26T16:15:56.263104
94,Sensor High Resolution 94,2116.57,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_93,STMicroelectronics,Automation,Ekostra,In Stock,3.8,Professional automation from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/94,2025-12-26T16:15:56.263111
95,Controller I2C 95,1397.68,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_94,Maxim Integrated,Security,Ekostra,In Stock,3.8,Professional security from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/95,2025-12-26T16:15:56.263117
96,Module Configurable 96,246.91,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_95,Espressif,RFID,Ekostra,In Stock,3.8,Professional rfid from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/96,2025-12-26T16:15:56.263123
97,Tester Model 97,276.41,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_96,Generic,Sensors,Ekostra,In Stock,4.9,Professional sensors from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/97,2025-12-26T16:15:56.263130
98,Automation Gamma 98,863.2,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_97,Espressif,Communication,Ekostra,In Stock,4.7,Professional communication from Espressif. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/98,2025-12-26T16:15:56.263136
99,Amplifier Model 99,442.47,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_98,Generic,Wireless,Ekostra,In Stock,4.6,Professional wireless from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/99,2025-12-26T16:15:56.263142
100,Converter Version 2.0 100,763.43,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_99,Texas Instruments,Sensors,Ekostra,In Stock,3.9,Professional sensors from Texas Instruments. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/100,2025-12-26T16:15:56.263148
101,Memory Model 101,1066.3,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_100,Maxim Integrated,Security,Ekostra,Out of Stock,4.9,Professional security from Maxim Integrated. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/101,2025-12-26T16:15:56.263154
102,Module Rack Mount 102,133.3,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_101,STMicroelectronics,Modules,Ekostra,Out of Stock,3.6,Professional modules from STMicroelectronics. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/102,2025-12-26T16:15:56.263160
103,Filter Model Y 103,623.28,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_102,Analog Devices,GPS,Ekostra,Limited Stock,4.6,Professional gps from Analog Devices. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/103,2025-12-26T16:15:56.263167
104,Module Model 104,202.57,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_103,Generic,Sensors,Ekostra,Out of Stock,3.8,Professional sensors from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/104,2025-12-26T16:15:56.263173
105,Filter 2025 Model 105,519.13,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=300&h=300&fit=crop&sig=ekostra_104,Generic,Wireless,Ekostra,Limited Stock,4.7,Professional wireless from Generic. High quality and reliable performance for all applications.,https://ekostra-eg.com/product/105,2025-12-26T16:15:56.263179
